id,title,date,rel-title,rel-id
77171abc-f704-436f-8acf-7a1e8802296f,"Chakori",2016-11-11,Sahasam Swasaga Sagipo,13845d50-d73f-4ddb-ab49-61d19d2a9507
bb64365c-cd6c-438c-9e8a-c8aba0c58314,"Kannulla Munde",2016-11-11,Sahasam Swasaga Sagipo,13845d50-d73f-4ddb-ab49-61d19d2a9507
e4ecd5ab-ac67-4dfd-891d-6eb5d69fd7a0,"Shokilla",2016-11-11,Sahasam Swasaga Sagipo,13845d50-d73f-4ddb-ab49-61d19d2a9507
cb3c3322-977d-4e1a-8148-49f6a17c2fca,"Taanu Nenu",2016-11-11,Sahasam Swasaga Sagipo,13845d50-d73f-4ddb-ab49-61d19d2a9507
b98be30c-aace-4e4f-9d92-ca3e8f6c830a,"Vellipomaakey",2016-11-11,Sahasam Swasaga Sagipo,13845d50-d73f-4ddb-ab49-61d19d2a9507
df86ad2d-9412-43e9-a2c7-fcfb15947c9e,24 Carat,2016-01-01,24,8f1ef1d0-2834-4771-aa46-4e2ac39ea9ed
b8a61399-95de-464e-a4d2-bc53d25f3d4a,A Close Call,2023-02-20,Kochadaiiyaan (Original Background Score),016ca44e-dc18-4a4f-858c-1201e5f69048
a2666d5c-4b82-4ac0-9711-d47f087ad4be,A La Hassan de Paris,2014-08-12,The Hundred-Foot Journey,a79f4760-c30c-4eb6-a1eb-1864a78d9800
794f7c8e-da8b-4b13-ab6d-9be32949b265,A Mother’s Advice To Her Son,2015-12-23,Muhammad: The Messenger of God,4d039b40-5113-41ef-ab8b-75b5bd3b35bd
58161c4f-2dda-4ec8-8bf2-571f300a3f17,Aa Jaane Tamanna,-,Lagaan: Once Upon a Time in India,69362552-df20-4393-a168-196411777252
cd03c8e7-3ecb-4c1c-a65e-d1f32286faa6,Aa Siggu Eggulenthavarku,1994-01-01,Gangmaster,b8a8864a-2abe-4923-b9da-8018c97676da
a514fcec-365c-4f62-a1f0-49acdd0b4f83,Aadhukonadam Vrathami,1997-01-01,Iddaru,53cbba51-cf7a-479d-9416-59c425cf954c
eeec0e92-ea66-4fdb-bf76-1f52a11e0149,Aadi Paaru Mangaatha,1994-01-01,May Madham,c093dbc3-dd53-404b-81a6-80a2004ab4c6
1f5e9dee-4556-4d63-8264-f4a0ef1610bd,Aagaaya Neelangalil,2021-03-25,99 Songs (Tamil): Original Motion Picture Soundtrack,dffb42f8-c9a1-41d7-abad-4b7ff5a6c1ee
d97653fc-63b4-410a-a066-7d88ef1faa70,Aaha Tamizhamma,2003-01-01,Kangalal Kaidhu Sei,171c8472-2e68-4631-b1fd-d8baa3ea6109
7b07d7a9-a2cd-486e-a04d-ec0ed9b38cd3,Aahista Aahista,2004-09-24,Swades,748be199-4dd1-4ddf-8e3c-9d1f2c53519c
022a33a3-f467-4255-ba91-ecffdfe71a85,Aahista aahista,2004-01-01,Swades: Original Motion Picture Soundtrack,0729e206-4492-4b7d-8172-d17e14376464
3ca3ce9d-e5f5-4cc6-bc65-cbeb691a2b28,Aai Aai Yo,1995-01-01,Rangeli,7a647e5a-3d94-4fab-a1b0-65c4169d6830
3b0c7466-4198-4613-b064-f470ad44ebec,Aaj Dil Gustakh Hai,2009-09-10,Blue,6768bbf8-9ba4-4fc0-a6d4-f2cbfd487530
aff2dd59-9450-4831-b204-111168897264,Aaj ki raat,2009-01-12,Slumdog Millionaire,9f5e1d7f-950e-3a49-acdb-88c7bb92e103
d40126de-0448-4ca9-9079-36ed6774984f,Aaja Mahiya,2000-09-08,Fiza,8f9dd427-20bf-4932-bad6-aedc316f2143
28395324-9f71-4c1f-b3ec-535a8ac5b0fa,Aaja Mahiya - Remix,2000-09-08,Fiza,8f9dd427-20bf-4932-bad6-aedc316f2143
5711453b-1286-46c2-9de4-46bcf9f6b4d9,Aakaasam,2010-02-13,Ye Maaya Chesave,990fb5f7-7132-4cea-80ff-270d6cd41ab0
22acfed1-d4df-4226-afeb-e13baedc7e16,Aakatayi Okkadanta,1993-01-01,Donga Donga,7fb1a4d3-eb5f-48ba-b659-668e945f447e
c42b8f10-5a56-4402-aae5-f72102a73ac4,Aalaporaan Thamizhan,2017-08-20,Mersal (Original Motion Picture Soundtrack),9c475e1f-7c77-473b-b9ab-769dc8842258
0bbaf07c-f856-44c8-8498-e0c268ec9f0b,Aalaporaan Thamizhan (From "Mersal"),2017-08-12,Aalaporaan Thamizhan (From "Mersal"),0d931eca-d487-4e01-9de5-2a0254854c31
207de88a-374e-42cb-82e6-e71a5b617a5d,Aamani Ruthuve,2008-01-01,Jodhaa Akbar,fa0168c6-3a03-4746-83b0-f97cbcca2394
e8801c60-1d21-4038-bf78-87c57785a389,Aamani Ruthuve (Flute),2008-01-01,Jodhaa Akbar,fa0168c6-3a03-4746-83b0-f97cbcca2394
7d7c4957-5775-45e3-bcf0-917327b61e8d,Aandhi Ki Tarah,2010-01-01,Sivaji The Boss (Original Motion Picture Soundtrack),1fd6b0df-cfe9-4754-950e-dcb41a8eb0a2
ecbdbb42-65ca-4430-86bf-cbd5d03a632d,Aankh Milaoongi,2000-09-08,Fiza,8f9dd427-20bf-4932-bad6-aedc316f2143
7d7f852a-ff98-4b02-b678-52e2b3d485ac,Aapko pehle bhi kahin dekha hai,2004-01-01,Swades: Original Motion Picture Soundtrack,0729e206-4492-4b7d-8172-d17e14376464
7ee0d61c-ead7-4286-9be9-2951d8f75946,Aararo Ariraro,1994-01-01,Karuthamma,a94a8c0a-9399-46f3-a5ab-4aba43215c85
a2358fc2-b418-439a-a168-766cf912ca95,Aararoo,2016-04-12,24,a8f47f77-1851-4200-8da2-e4efec602e87
4df60f46-fb93-409b-b201-b946592622f0,Aarathi Agni,2017-01-01,Mom,e37382ae-fec3-491c-9323-e85eca0ed8de
dbd7911a-7102-421b-a502-da6be4daabb1,Aaromale,2010-01-08,Vinnaithaandi Varuvaayaa,01f0fb68-59d8-4c12-beb6-d641ef9fb177
e0d82f7f-2cd0-4fc9-acd3-015bf72390bf,Aaromale (Female Version),2010-12-01,Vinnaithaandi Varuvaayaa (BAFTA),660c61bc-735e-4a2e-be5d-48d8deaf6b25
35c06ec1-4f40-4d32-adf1-8e4a40b9d1e8,Aarti (Tumre Bhavan Mein),2009-01-14,Delhi-6,dc1b43c8-1ad3-4b8f-9b73-ced532763776
6d969b76-87af-4780-b524-fa577499ee78,Aaruyire,2006-09-11,Guru,88af87c3-2357-4f60-bf6b-499ef8f59b5d
82531ee5-972e-4af4-8462-23a5d9ae59b8,Aashiqui Mein Had Se,1994-01-01,The Gentleman,72eca740-af2c-40b4-aa5f-fe403014d499
a04b04d6-0462-4bc8-a36a-29003c098e21,Aathangara Marame,1993-11-13,Kizhakku Cheemayile,79a9dd7e-4933-4143-a100-f7fa4952b1b6
adcf374b-4455-4e58-af80-852e2d16f209,Aaya Khwaab Ka Mausam,2014-03-13,Kochadaiiyaan (Original Motion Picture Soundtrack),a31951d1-c883-475e-8d34-9a79c90e2663
a0585db9-cdfd-4e29-889d-a493dfee54c5,Aazadi,2005-05-03,Netaji Subhas Chandra Bose: The Forgotten Hero,be2c4e49-6ba3-4c1c-8998-b889b3299d99
0ee1e5a7-8b91-4685-a9c8-81037764f2ed,Aazhi Mazhai Kanna,2023-03-29,Ponniyin Selvan Part - 2,48850f8a-58dc-46be-be79-567068bab3fd
6a6a7f37-ce0f-440e-9f42-4a25ad29c3a7,Ababeel,2015-12-23,Muhammad: The Messenger of God,4d039b40-5113-41ef-ab8b-75b5bd3b35bd
6ebf4dec-4bc1-47a0-b617-98ab3bed4da4,Abraha,2015-12-23,Muhammad: The Messenger of God,4d039b40-5113-41ef-ab8b-75b5bd3b35bd
0642d49e-c837-434a-80f2-b76162eb680e,Achampeta Mangatha,1994-01-01,Hrudayaanjali,ee0b7be8-9dce-4e64-b6ae-535a2726d345
f2b7caae-7fa9-4d3e-8262-4d8d4fd922ae,Acid Darbari,2010-01-01,127 Hours: For Your Consideration - Best Original Score,a69052bb-95f7-4db8-875a-1753b395ebe8
4288c446-a8eb-48c4-b1e9-71fe2db6d320,Across the River,2005-12-13,Water,0aa1c156-9ed3-4cef-be93-d7e0922d25db
907f1ead-bf47-4a2d-99f2-6f4fb0f24ca3,Adeyyata,2016-11-18,Guru Kanth,2b20748e-c811-4cbb-b6bf-29ea3bde32ea
9b8559eb-a210-4566-aef4-cf96ced96979,Adhareeni,2007-01-01,Sivaji: The Boss,f44accdf-18db-429a-b6ee-ff092a82d8de
447ae692-2c2c-4ed3-af05-908800a99766,Adheeraa,2022-07-12,Cobra (Original Motion Picture Soundtrack),d2c605fc-c459-4dea-bb5f-f8fd7a3ef19f
751a4198-796e-49b8-95da-514ad16b57c9,Adhirudha,2022-02-14,Navarasa,7d6179f4-0de2-4dd8-a1c6-2cb93e1db4f7
dfd56a92-754c-444a-add4-3836ce6deb06,Adhisaya Thirumanam,2001-01-01,Paarthale Paravasam,3a5911a8-08a6-4da9-ab24-7150d504ad5f
ca46c8e5-209c-4dcc-a337-1c09a461a723,Adi Arabi Kadalandam,1995-01-01,Bombay,19d7afd0-233f-45ba-b04e-6aae0ef24a02
babd8d9f-4b9e-474a-be00-0cad8608e319,Adi Manja Kizhangae,1999-11-07,Taj Mahal,2dc52531-1e1c-4807-8403-941397056652
248aa3a1-f7ca-493a-9acb-55cf9722c9ee,Adi Nenthikkitten,2001-01-01,Star,344b3f22-ccc6-4221-9178-db6fab0838cd
7ef2c177-f5db-4c6a-9519-1bb36ee2c065,Adireti Dress,1996-01-01,Bharateeyudu,b79130b9-1749-4d8c-983c-50dd08f9c522
b6db7416-7706-45d8-a3ca-4e7e8937dfb1,Adiye,2012-12-15,Kadal,3c1c7ce9-a664-4c0e-a204-acb10174bb37
3b4a7637-d06b-48a3-ae74-d61b6729ccbd,Advertisement,1996-01-01,Duniya Dilwalon Ki,4b841121-b275-4534-b490-122e23b83a8e
93c2abc2-09f5-45b2-bbea-6a1c7da2bb47,Advertisement2,1996-01-01,Duniya Dilwalon Ki,4b841121-b275-4534-b490-122e23b83a8e
7a226154-fde7-40f2-bf98-82dbd611907f,Ae Maanpuru Mangaiyae,2006-09-11,Guru,88af87c3-2357-4f60-bf6b-499ef8f59b5d
26f316fb-7264-4bac-b15a-55ac377d5475,Ae Nazneen Suno Na,2000-11-28,Zubeidaa,d6fb8d30-7836-4360-863c-93618b4e6750
30c59a2c-41a2-4b4c-946a-0f0be4047a64,Ae Pulla,2024-01-26,Lal Salaam (Original Motion Picture Soundtrack),540609ae-5642-4a6b-a319-d7f8626c14ab
7e6327de-56e4-4296-8b2e-39ae511ea244,Ae Wadi Shehzadi,2020-02-06,Shikara,fbf85e0d-a1d3-4153-9208-fa9bc6826b6e
210079cb-7cda-47c5-b119-d71e2f25eac9,Ae ajnabi,2003-01-01,Best of A.R. Rahman: Melody King,57ea2ed8-87ef-4092-afda-f4d6a79f2197
f04eb42d-cbed-4e3e-ad39-5af628d0bb67,Ae nazneen sunona,2003-01-01,Best of A.R. Rahman: Melody King,57ea2ed8-87ef-4092-afda-f4d6a79f2197
251101be-e1cf-4966-b353-6946fcd8f926,Afghanistan Theme 1,2005-05-03,Netaji Subhas Chandra Bose: The Forgotten Hero,be2c4e49-6ba3-4c1c-8998-b889b3299d99
751c12d5-38d2-4e9c-ba3e-65fad955cba3,AfghanistanTheme 2,2005-05-03,Netaji Subhas Chandra Bose: The Forgotten Hero,be2c4e49-6ba3-4c1c-8998-b889b3299d99
ae608ca9-e71f-45a1-99a9-0da8156d0f1a,Afreeda,2020-07-10,Dil Bechara (Original Motion Picture Soundtrack),605f89ff-26f9-42bc-95cb-0c017d3c68c5
e5da8253-a64d-46b2-902f-4254365bc7a8,Afreen,2014-08-12,The Hundred-Foot Journey,a79f4760-c30c-4eb6-a1eb-1864a78d9800
2d8da32f-d44a-4e50-8f08-d4d76d2e2c32,Aga Naga,2023-03-29,Ponniyin Selvan Part - 2,48850f8a-58dc-46be-be79-567068bab3fd
ac070b3c-7ba0-4257-a2ce-0714f43f925d,Against All Odds,2016-06-17,Pelé: Birth of a Legend: Original Motion Picture Soundtrack,8b0b2559-bb76-4f24-bc60-50460f514f01
4dd0f910-5739-4fa3-be84-a48d7b9b2753,Agar Tum Saath Ho,2015-10-16,Tamasha,d52fd102-1c87-465e-b4b9-22334e7a10ee
9854fdb3-01b3-4fd2-892f-5d667d07523d,Aham Brahmasmi,2004-09-12,Kisna: The Warrior Poet,5dd2a692-1902-4385-99b1-40c7e941eaa2
a24ce7da-f5ca-4863-8859-2c06ddc7e171,Aila Aila,2014-09-15,I,c5374711-999c-412e-9b35-a6c347546e7f
6987cc71-71e8-4c72-861f-56a6c4d141a5,Airport Adventures,2012-06-19,People Like Us,cac0277f-d522-4252-9a0c-0ee9fc797102
d8fc15f1-26dd-474e-909c-635f150d0ab5,Aise Na Dekho,2013-06-11,Raanjhanaa,7a08dd2b-1acd-4556-8f39-fca9d81d097b
c8f48c10-7327-41ad-be5e-0ee13a1aa0dd,Aiyla,2014-12-29,I (Hindi): Original Motion Picture Soundtrack,a1bc8e4a-8707-43c9-939a-0504f2a0a24b
03f54cc1-fc9d-431d-a0d8-6cd728f668bd,Ajooba,2003-01-01,Best of A.R. Rahman: Melody King,57ea2ed8-87ef-4092-afda-f4d6a79f2197
8e88e753-874b-4df4-9d74-5866589602ed,Ajuba,1998-01-01,Jeans,7afa49ed-9300-43bf-9dc8-a810850a6273
29aaf408-ff76-41b0-8eb3-af44e53130c2,Akadanu Naanga,1996-09-05,Indian,8bc84d04-da32-401b-b665-8ea497f24e28
b641a76b-da01-4eb7-ab43-28ff71a59583,Aksharalu Rendaina,2001-01-01,Paravasam,79bd7a2c-c1b2-4752-bc18-52621e5138b9
d6282fb6-80b9-4f82-ae64-ac676774f424,Akshi (instrumental),2018-04-02,Beyond the Clouds,f16bda0d-2b76-4766-87f9-98e33ebe1db3
3222a1f9-49c0-4280-a9c4-9e6195919569,Al Maddath Maula,2005-01-01,Mangal Pandey: The Rising,0597b80b-b949-41ee-9e2d-3285357874f0
797a6024-0fb6-4f3d-95e1-8806903ab64e,Ala Hada,2014-06-03,Lekar Hum Deewana Dil,05b85c02-e344-4fb3-9162-49187e672dfc
a0e068a1-c1a9-4302-9e69-18162ed9aab2,Ala Re Ala,2018-04-02,Beyond the Clouds,f16bda0d-2b76-4766-87f9-98e33ebe1db3
a5b1a81a-1cf5-4d1b-a9f2-0aecb5a4eaac,Alai Alaiyaaga - Extended Version,2022-02-14,Navarasa,7d6179f4-0de2-4dd8-a1c6-2cb93e1db4f7
7fdd05f1-36a0-416f-a9e7-eaf224d3ef37,Alai Alaiyaga,2022-02-14,Navarasa,7d6179f4-0de2-4dd8-a1c6-2cb93e1db4f7
6e4eabc8-7d3b-43a9-a8e5-60fbd8c7e44d,Alai Pongeraa,2000-01-01,Sakhi,9063c518-8d51-484a-b857-a898431edc98
a7e3fc94-2a76-4302-b3a1-fe0ee8a6e46d,Alaikadal,2022-09-07,Ponniyin Selvan Part-1 (Original Motion Picture Soundtrack),fe61f342-66d0-4beb-9ac1-1ec44b5b4f33
5e8c7cb2-a520-4122-a7f4-e3606afd96ca,Alaipayuthey,2000-01-01,Alaipayudhey,f7e5b247-78b6-4fc2-93f8-45749c9d3ec5
ab640b36-7572-40c8-9145-791b49f45323,Alangatti Mazhai,2000-10-26,Thenali,4f644569-72b8-4224-9d10-ff4ce9b4d513
