id,singer
77171abc-f704-436f-8acf-7a1e8802296f,Sathyaprakash
77171abc-f704-436f-8acf-7a1e8802296f,Shashaa Tirupati
bb64365c-cd6c-438c-9e8a-c8aba0c58314,Haricharan
bb64365c-cd6c-438c-9e8a-c8aba0c58314,Chinmayi
e4ecd5ab-ac67-4dfd-891d-6eb5d69fd7a0,Aditya
e4ecd5ab-ac67-4dfd-891d-6eb5d69fd7a0,Dinesh Kanagaratnam
e4ecd5ab-ac67-4dfd-891d-6eb5d69fd7a0,Sri Rascol
cb3c3322-977d-4e1a-8148-49f6a17c2fca,Vijay Prakash
b98be30c-aace-4e4f-9d92-ca3e8f6c830a,Sid Sriram
b98be30c-aace-4e4f-9d92-ca3e8f6c830a,Dinesh Kanagaratnam
b98be30c-aace-4e4f-9d92-ca3e8f6c830a,Aparna Narayanan
c6d28b41-263e-45de-8cbd-a9e205df5cc0,Arjun Chandy
b8a61399-95de-464e-a4d2-bc53d25f3d4a,A. R. Rahman
a2666d5c-4b82-4ac0-9711-d47f087ad4be,A. R. Rahman
794f7c8e-da8b-4b13-ab6d-9be32949b265,Arpita Gandhi
58161c4f-2dda-4ec8-8bf2-571f300a3f17,Aadesh Shrivastava
cd03c8e7-3ecb-4c1c-a65e-d1f32286faa6,Mano
cd03c8e7-3ecb-4c1c-a65e-d1f32286faa6,Swarnalatha
a514fcec-365c-4f62-a1f0-49acdd0b4f83,Mano
eeec0e92-ea66-4fdb-bf76-1f52a11e0149,Suneeta Rao
eeec0e92-ea66-4fdb-bf76-1f52a11e0149,T. K. Kala
eeec0e92-ea66-4fdb-bf76-1f52a11e0149,G.V. Prakash Kumar
1f5e9dee-4556-4d63-8264-f4a0ef1610bd,A. R. Rahman
1f5e9dee-4556-4d63-8264-f4a0ef1610bd,Shreya Ghoshal
d97653fc-63b4-410a-a066-7d88ef1faa70,A. R. Reihana
d97653fc-63b4-410a-a066-7d88ef1faa70,Mathangi
d97653fc-63b4-410a-a066-7d88ef1faa70,Blaaze
7b07d7a9-a2cd-486e-a04d-ec0ed9b38cd3,Udit Narayan
7b07d7a9-a2cd-486e-a04d-ec0ed9b38cd3,Sadhana Sargam
022a33a3-f467-4255-ba91-ecffdfe71a85,Udit Narayan
022a33a3-f467-4255-ba91-ecffdfe71a85,Sadhana Sargam
3ca3ce9d-e5f5-4cc6-bc65-cbeb691a2b28,A. R. Rahman
3ca3ce9d-e5f5-4cc6-bc65-cbeb691a2b28,Annupamaa
3b0c7466-4198-4613-b064-f470ad44ebec,Sukhwinder Singh
3b0c7466-4198-4613-b064-f470ad44ebec,Shreya Ghoshal
aff2dd59-9450-4831-b204-111168897264,Sonu Nigam
aff2dd59-9450-4831-b204-111168897264,Mahalakshmi Iyer
aff2dd59-9450-4831-b204-111168897264,Alisha Chinai
d40126de-0448-4ca9-9079-36ed6774984f,Udit Narayan
d40126de-0448-4ca9-9079-36ed6774984f,Alka Yagnik
28395324-9f71-4c1f-b3ec-535a8ac5b0fa,Udit Narayan
28395324-9f71-4c1f-b3ec-535a8ac5b0fa,Prasanta A Samadhar
28395324-9f71-4c1f-b3ec-535a8ac5b0fa,Alka Yagnik
5711453b-1286-46c2-9de4-46bcf9f6b4d9,Naresh Iyer
22acfed1-d4df-4226-afeb-e13baedc7e16,G.V. Prakash Kumar
c42b8f10-5a56-4402-aae5-f72102a73ac4,Kailash Kher
c42b8f10-5a56-4402-aae5-f72102a73ac4,Sathyaprakash
c42b8f10-5a56-4402-aae5-f72102a73ac4,Deepak
c42b8f10-5a56-4402-aae5-f72102a73ac4,A.V. Pooja
0bbaf07c-f856-44c8-8498-e0c268ec9f0b,A. R. Rahman
0bbaf07c-f856-44c8-8498-e0c268ec9f0b,Kailash Kher
0bbaf07c-f856-44c8-8498-e0c268ec9f0b,Sathyaprakash
0bbaf07c-f856-44c8-8498-e0c268ec9f0b,Deepak
0bbaf07c-f856-44c8-8498-e0c268ec9f0b,A.V. Pooja
207de88a-374e-42cb-82e6-e71a5b617a5d,Srinivas
e8801c60-1d21-4038-bf78-87c57785a389,A. R. Rahman
7d7c4957-5775-45e3-bcf0-917327b61e8d,A. R. Rahman
7d7c4957-5775-45e3-bcf0-917327b61e8d,Sayonara
ecbdbb42-65ca-4430-86bf-cbd5d03a632d,Asha Bhosle
7d7f852a-ff98-4b02-b678-52e2b3d485ac,Udit Narayan
7d7f852a-ff98-4b02-b678-52e2b3d485ac,Alka Yagnik
7ee0d61c-ead7-4286-9be9-2951d8f75946,Theni Kunjrama
7ee0d61c-ead7-4286-9be9-2951d8f75946,T. K. Kala
a2358fc2-b418-439a-a168-766cf912ca95,Shakthisree Gopalan
4df60f46-fb93-409b-b201-b946592622f0,Damini Bhatla
4df60f46-fb93-409b-b201-b946592622f0,Rianjali
09307e05-4b01-49ac-813e-be84dfe7e7e7,Alphons Joseph
e0d82f7f-2cd0-4fc9-acd3-015bf72390bf,Shreya Ghoshal
35c06ec1-4f40-4d32-adf1-8e4a40b9d1e8,Rekha Bhardwaj
35c06ec1-4f40-4d32-adf1-8e4a40b9d1e8,Kishori Ashok Gowariker
35c06ec1-4f40-4d32-adf1-8e4a40b9d1e8,Sujata Majumdar
35c06ec1-4f40-4d32-adf1-8e4a40b9d1e8,Shraddha Pandit
6d969b76-87af-4780-b524-fa577499ee78,A. R. Rahman
6d969b76-87af-4780-b524-fa577499ee78,Chinmayi
6d969b76-87af-4780-b524-fa577499ee78,Murtuza Khan
6d969b76-87af-4780-b524-fa577499ee78,Qadir Khan
82531ee5-972e-4af4-8462-23a5d9ae59b8,Vinod Rathod
82531ee5-972e-4af4-8462-23a5d9ae59b8,Sadhana Sargam
a04b04d6-0462-4bc8-a36a-29003c098e21,Mano
a04b04d6-0462-4bc8-a36a-29003c098e21,Sujatha
adcf374b-4455-4e58-af80-852e2d16f209,Raghav Mathur
a0585db9-cdfd-4e29-889d-a493dfee54c5,A. R. Rahman
a0585db9-cdfd-4e29-889d-a493dfee54c5,Western Choir Chennai
0ee1e5a7-8b91-4685-a9c8-81037764f2ed,A. R. Rahman
0ee1e5a7-8b91-4685-a9c8-81037764f2ed,Harini
6a6a7f37-ce0f-440e-9f42-4a25ad29c3a7,Dilshad Shaikh
6ebf4dec-4bc1-47a0-b617-98ab3bed4da4,A. R. Rahman
0642d49e-c837-434a-80f2-b76162eb680e,G.V. Prakash Kumar
0642d49e-c837-434a-80f2-b76162eb680e,Annupamaa
0642d49e-c837-434a-80f2-b76162eb680e,Sunita Rao
0642d49e-c837-434a-80f2-b76162eb680e,T. K. Kala
f0d6fe5c-741f-4bd8-805b-cb04b95baa50,A. R. Rahman
4288c446-a8eb-48c4-b1e9-71fe2db6d320,Mychael Danna
4288c446-a8eb-48c4-b1e9-71fe2db6d320,A. R. Rahman
907f1ead-bf47-4a2d-99f2-6f4fb0f24ca3,Madhushree
907f1ead-bf47-4a2d-99f2-6f4fb0f24ca3,Karthik
9b8559eb-a210-4566-aef4-cf96ced96979,A. R. Rahman
9b8559eb-a210-4566-aef4-cf96ced96979,Sayanora Philip
447ae692-2c2c-4ed3-af05-908800a99766,Vagu Mazan
447ae692-2c2c-4ed3-af05-908800a99766,thoughtsfornow
751a4198-796e-49b8-95da-514ad16b57c9,Karthik
dfd56a92-754c-444a-add4-3836ce6deb06,A. R. Rahman
ca46c8e5-209c-4dcc-a337-1c09a461a723,Remo Fernandes
ca46c8e5-209c-4dcc-a337-1c09a461a723,Swarnalatha
babd8d9f-4b9e-474a-be00-0cad8608e319,Ganga
babd8d9f-4b9e-474a-be00-0cad8608e319,Febi Mani
babd8d9f-4b9e-474a-be00-0cad8608e319,Kanjana
babd8d9f-4b9e-474a-be00-0cad8608e319,Feju
248aa3a1-f7ca-493a-9acb-55cf9722c9ee,Karthik
248aa3a1-f7ca-493a-9acb-55cf9722c9ee,Chitra Sivaraman
7ef2c177-f5db-4c6a-9519-1bb36ee2c065,Swarnalatha
b6db7416-7706-45d8-a3ca-4e7e8937dfb1,Maria Roe Vincent
3b4a7637-d06b-48a3-ae74-d61b6729ccbd,Tilda Basmati
93c2abc2-09f5-45b2-bbea-6a1c7da2bb47,Tilda Basmati
7a226154-fde7-40f2-bf98-82dbd611907f,Srinivas
7a226154-fde7-40f2-bf98-82dbd611907f,Sujatha
7a226154-fde7-40f2-bf98-82dbd611907f,Mohammed Aslam
30c59a2c-41a2-4b4c-946a-0f0be4047a64,A. R. Rahman
7e6327de-56e4-4296-8b2e-39ae511ea244,Papon
251101be-e1cf-4966-b353-6946fcd8f926,A. R. Rahman
751c12d5-38d2-4e9c-ba3e-65fad955cba3,A. R. Rahman
ae608ca9-e71f-45a1-99a9-0da8156d0f1a,Sanaa Moussa
ae608ca9-e71f-45a1-99a9-0da8156d0f1a,Raja Kumari
e5da8253-a64d-46b2-902f-4254365bc7a8,Nakash Aziz
2d8da32f-d44a-4e50-8f08-d4d76d2e2c32,A. R. Rahman
2d8da32f-d44a-4e50-8f08-d4d76d2e2c32,Shakthisree Gopalan
ac070b3c-7ba0-4257-a2ce-0714f43f925d,Nikhita Gandhi
ac070b3c-7ba0-4257-a2ce-0714f43f925d,Arpita Gandhi
4dd0f910-5739-4fa3-be84-a48d7b9b2753,Alka Yagnik
4dd0f910-5739-4fa3-be84-a48d7b9b2753,Arijit Singh
16a9b20c-d9c1-4739-95fe-5d2aa7a4c8b9,A. R. Rahman
48c683b6-5324-4865-a90f-dad82fb6f960,A. R. Rahman
48c683b6-5324-4865-a90f-dad82fb6f960,Rekha Sawhney
a24ce7da-f5ca-4863-8859-2c06ddc7e171,Aditya
a24ce7da-f5ca-4863-8859-2c06ddc7e171,Natalie Di Luccio
6987cc71-71e8-4c72-861f-56a6c4d141a5,Michael Ripoll
d8fc15f1-26dd-474e-909c-635f150d0ab5,A. R. Rahman
d8fc15f1-26dd-474e-909c-635f150d0ab5,Karthik
c8f48c10-7327-41ad-be5e-0ee13a1aa0dd,Shiraz Uppal
c8f48c10-7327-41ad-be5e-0ee13a1aa0dd,Natalie Di Luccio
8e88e753-874b-4df4-9d74-5866589602ed,A. R. Rahman
